LAG, 38.59, 36.68, 90.00, BROADCOM_ASMT-RF45-AN002BROADCOM_ASMT-RF45-AN002_0_0, BROADCOM_ASMT-RF45-AN002_0
LAR, 36.61, 36.50, 90.00, BROADCOM_HSMH-C170BROADCOM_HSMH-C170_0_0, BROADCOM_HSMH-C170_0
LIP, 24.95, 36.27, 90.00, BROADCOM_HSMA-C190BROADCOM_HSMA-C190_0_0, BROADCOM_HSMA-C190_0
LMG, 21.50, 36.30, 90.00, BROADCOM_ASMT-RF45-AN002BROADCOM_ASMT-RF45-AN002_0_0, BROADCOM_ASMT-RF45-AN002_0
LMR, 19.53, 36.35, 90.00, BROADCOM_HSMH-C170BROADCOM_HSMH-C170_0_0, BROADCOM_HSMH-C170_0
LSD, 29.87, 36.41, 90.00, BROADCOM_HSMH-C170BROADCOM_HSMH-C170_0_0, BROADCOM_HSMH-C170_0
LSG, 31.80, 36.22, 90.00, BROADCOM_ASMT-RF45-AN002BROADCOM_ASMT-RF45-AN002_0_0, BROADCOM_ASMT-RF45-AN002_0
R1, 25.78, 39.56, 0.00, 110R, R0603
R13, 36.15, 39.68, 180.00, 110R, R0603
R14, 39.59, 39.73, 0.00, 110R, R0603
R15, 29.28, 39.60, 180.00, 110R, R0603
R16, 32.70, 39.69, 0.00, 110R, R0603
R17, 18.87, 39.62, 180.00, 110R, R0603
R18, 22.22, 39.63, 0.00, 110R, R0603
R19, 13.17, 32.05, 180.00, 10K, R0603
R6, 7.81, 32.11, 0.00, 10K, R0603
R8, 3.77, 32.07, 180.00, 10K, R0603
SW1, 13.02, 37.25, 270.00, 147873-1, SW_147873-1
SW2, 8.27, 37.28, 270.00, 147873-1, SW_147873-1
SW3, 3.20, 37.31, 270.00, 147873-1, SW_147873-1
