"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"AVAILABILITY";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"PACKAGE";"POPULARITY";"PRICE";"PURCHASE-URL";"SPICEPREFIX";
"10";"0R";"R-EU_R0603";"R0603";"R7, R8, R9, R10, R11, R19, R20, R21, R22, R23";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"R";
"6";"100K";"R-EU_R0603";"R0603";"R2, R5, R6, R14, R17, R18";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"R";
"2";"10k";"R-EU_R0603";"R0603";"R12, R24";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"R";
"2";"33nF";"C-EUC0805";"C0805";"C4, C6";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"C";
"4";"3K3";"R-EU_R0603";"R0603";"R3, R4, R15, R16";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"R";
"4";"47uF";"C-EUC0805";"C0805";"C1, C2, C3, C5";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"88";"";"";"C";
"2";"6k";"R-EU_R0603";"R0603";"R1, R13";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"70";"";"";"R";
"1";"FLE-108-01-XX-DV";"FLE-108-01-XX-DV";"FLE-108-01-XX-DV";"J2";"DOUBLE ROW 0.050"X0.050" STRIP ASSEMBLY. Check prices";"";"";"Bad";" 16 Position Receptacle Connector Surface Mount ";"";"";"";"Samtec";"";"";"FLE-108-01-G-DV";"None";"";"None";"https://pricing.snapeda.com/search/part/FLE-108-01-G-DV/?ref=eda";"";
"1";"FLE-120-01-XX-DV";"FLE-120-01-XX-DV";"FLE-120-01-XX-DV";"J5";"DOUBLE ROW 0.050"X0.050" STRIP ASSEMBLY. Check prices";"";"";"Bad";" 40 Position Receptacle Connector Surface Mount ";"";"";"";"Samtec";"";"";"FLE-120-01-G-DV";"None";"";"None";"https://pricing.snapeda.com/search/part/FLE-120-01-G-DV/?ref=eda";"";
"1";"FTSH-102-05-F-DV";"FTSH-102-05-F-DV";"FTSH-102-XX-YYY-DV";"J1";"4 Position, High Reliability Header Strips, 0.050" pitch";"";"";"";"4 Position, High Reliability Header Strips, 0.050&quot";" pitch";"mm";"SAMTEC";"FTSH-102-05-F-DV";"";"";"";"";"";"";"";"";
"1";"FTSH-108-05-F-DV-A";"FTSH-108-05-F-DV-A";"FTSH-108-XX-YYY-DV-A";"J4";"16 Position, High Reliability Header Strips, 0.050" pitch";"FTSH-108-05-F-DV-A";"https://www.arrow.com/en/products/ftsh-108-05-f-dv-a/samtec";"";"16 Position, High Reliability Header Strips, 0.050&quot";" pitch";"mm";"SAMTEC";"FTSH-108-05-F-DV-A";"";"200-FTSH10805FDVA";"https://www.mouser.co.uk/ProductDetail/Samtec/FTSH-108-05-F-DV-A?qs=PB6%2FjmICvI1admAR1gVHNg%3D%3D";"";"";"";"";"";
"1";"FTSH-120-05-F-DV";"FTSH-120-05-F-DV";"FTSH-120-XX-YYY-DV";"J3";"40 Position, High Reliability Header Strips, 0.050" pitch";"";"";"";"40 Position, High Reliability Header Strips, 0.050&quot";" pitch";"mm";"SAMTEC";"FTSH-120-05-F-DV";"";"";"";"";"";"";"";"";
"2";"VNH5019ATR-E";"VNH5019ATR-E";"IC_VNH5019ATR-E";"U1, U2";"Motor / Motion / Ignition Controllers & Drivers Automotive h-Bridge 18mohm 30a 41v Vcc Check prices";"";"";"Good";" Motor Driver Power MOSFET Parallel, PWM MultiPowerSO-30  ";"";"";"";"STMicroelectronics";"";"";"VNH5019ATR-E";"SOP-30 STMicroelectronics";"";"None";"https://pricing.snapeda.com/search/part/VNH5019ATR-E/?ref=eda";"";
